project,station,landuse,date_obs,depth,sensorType,meanstation,samples,meansample,sensorName
monalisa,stpauls,appleorchards,26/08/2014,20,CS655,0.303,0.263,0.282,
monalisa,stpauls,appleorchards,26/08/2014,20,CS655,0.303,0.264,0.282,
monalisa,stpauls,appleorchards,26/08/2014,20,CS655,0.303,0.319,0.282,
monalisa,stpauls,appleorchards,26/08/2014,40,CS655,0.236,0.262,0.256,
monalisa,stpauls,appleorchards,26/08/2014,40,CS655,0.236,0.277,0.256,
monalisa,stpauls,appleorchards,26/08/2014,40,CS655,0.236,0.229,0.256,
monalisa,eppanberg,appleorchards,26/08/2014,20,CS655,0.381,0.299,0.31,
monalisa,eppanberg,appleorchards,26/08/2014,20,CS655,0.381,0.333,0.31,
monalisa,eppanberg,appleorchards,26/08/2014,20,CS655,0.381,0.299,0.31,
monalisa,eppanberg,appleorchards,26/08/2014,40,CS655,0.368,0.294,0.291,
monalisa,eppanberg,appleorchards,26/08/2014,40,CS655,0.368,0.292,0.291,
monalisa,eppanberg,appleorchards,26/08/2014,40,CS655,0.368,0.286,0.291,
monalisa,kaltern,appleorchards,28/08/2014,20,CS655,0.333,0.464,0.405,
monalisa,kaltern,appleorchards,28/08/2014,20,CS655,0.333,0.354,0.405,
monalisa,kaltern,appleorchards,28/08/2014,20,CS655,0.333,0.396,0.405,
monalisa,kaltern,appleorchards,28/08/2014,40,CS655,0.367,0.401,0.38,
monalisa,kaltern,appleorchards,28/08/2014,40,CS655,0.367,0.272,0.38,
monalisa,kaltern,appleorchards,28/08/2014,40,CS655,0.367,0.468,0.38,
matsch,I1,meadow,27/05/2014,5,CS655,0.256,0.318,0.322,
matsch,I1,meadow,27/05/2014,5,CS655,0.256,0.325,0.322,
matsch,I1,meadow,15/07/2014,5,CS655,0.379,0.386,0.403,
matsch,I1,meadow,15/07/2014,5,CS655,0.379,0.42,0.403,
matsch,I1,meadow,15/07/2014,20,CS655,0.303,0.339,0.406,
matsch,I1,meadow,15/07/2014,20,CS655,0.303,0.473,0.406,
matsch,I3,meadow,27/05/2014,5,CS655,0.313,0.317,0.32,
matsch,I3,meadow,27/05/2014,5,CS655,0.313,0.323,0.32,
matsch,I3,meadow,15/07/2014,5,CS655,0.219866667,0.421,0.416,
matsch,I3,meadow,15/07/2014,5,CS655,0.219866667,0.41,0.416,
matsch,P1,pasture,27/05/2014,5,CS655,0.233,0.233,0.194,
matsch,P1,pasture,27/05/2014,5,CS655,0.233,0.119,0.194,
matsch,P1,pasture,20/06/2014,5,CS655,0.07,0.125,0.166,
matsch,P1,pasture,20/06/2014,5,CS655,0.07,0.207,0.166,
matsch,P1,pasture,24/06/2014,5,CS655,0.141,0.104,0.118,
matsch,P1,pasture,24/06/2014,5,CS655,0.141,0.105,0.118,
matsch,P1,pasture,24/06/2014,5,CS655,0.141,0.143,0.118,
matsch,P1,pasture,14/07/2014,5,CS655,0.321,0.237,0.293,
matsch,P1,pasture,14/07/2014,5,CS655,0.321,0.273,0.293,
matsch,P1,pasture,14/07/2014,5,CS655,0.321,0.369,0.293,
matsch,P1,pasture,20/06/2014,20,CS655,0.071,0.081,0.081,
matsch,P1,pasture,24/06/2014,20,CS655,0.123,0.064,0.064,
matsch,P2,pasture,27/05/2014,5,CS655,0.156,0.238,0.234,
matsch,P2,pasture,27/05/2014,5,CS655,0.156,0.231,0.234,
matsch,P2,pasture,14/07/2014,5,CS655,0.265,0.166,0.233,
matsch,P2,pasture,14/07/2014,5,CS655,0.265,0.299,0.233,
matsch,P2,pasture,14/07/2014,20,CS655,0.178,0.122,0.122,
matsch,P3,pasture,27/05/2014,5,CS655,0.29,0.296,0.263,
matsch,P3,pasture,27/05/2014,5,CS655,0.29,0.23,0.263,
matsch,P3,pasture,20/06/2014,5,CS655,0.099,0.097,0.181,
matsch,P3,pasture,20/06/2014,5,CS655,0.099,0.195,0.181,
matsch,P3,pasture,20/06/2014,5,CS655,0.099,0.255,0.181,
matsch,P3,pasture,20/06/2014,5,CS655,0.099,0.177,0.181,
matsch,P3,pasture,14/07/2014,5,CS655,0.32,0.342,0.328,
matsch,P3,pasture,14/07/2014,5,CS655,0.32,0.378,0.328,
matsch,P3,pasture,14/07/2014,5,CS655,0.32,0.262,0.328,
matsch,P3,pasture,14/07/2014,20,CS655,0.223,0.28,0.28,
matsch,B1,meadow,19/07/2013,5,Decagon10HS,0.279,0.36,0.339,
matsch,B1,meadow,19/07/2013,5,Decagon10HS,0.279,0.316,0.339,
matsch,B1,meadow,19/07/2013,5,Decagon10HS,0.279,0.342,0.339,
matsch,B1,meadow,19/07/2013,20,Decagon10HS,0.172,0.301,0.234,
matsch,B1,meadow,19/07/2013,20,Decagon10HS,0.172,0.211,0.234,
matsch,B1,meadow,19/07/2013,20,Decagon10HS,0.172,0.188,0.234,
matsch,B2,meadow,19/07/2013,5,Decagon10HS,0.187,0.303,0.301,CI
matsch,B2,meadow,19/07/2013,5,Decagon10HS,0.187,0.318,0.301,CI
matsch,B2,meadow,19/07/2013,5,Decagon10HS,0.187,0.282,0.301,CI
matsch,B2,meadow,19/07/2013,5,Decagon10HS,0.083,0.303,0.301,Lsp
matsch,B2,meadow,19/07/2013,5,Decagon10HS,0.083,0.318,0.301,Lsp
matsch,B2,meadow,19/07/2013,5,Decagon10HS,0.083,0.282,0.301,Lsp
matsch,B2,meadow,29/09/2013,5,OnsetSMB005,0.271,0.441,0.43,CI
matsch,B2,meadow,29/09/2013,5,OnsetSMB005,0.271,0.414,0.43,CI
matsch,B2,meadow,29/09/2013,5,OnsetSMB005,0.271,0.436,0.43,CI
matsch,B2,meadow,29/09/2013,5,OnsetSMB005,0.25,0.441,0.43,Lsp
matsch,B2,meadow,29/09/2013,5,OnsetSMB005,0.25,0.414,0.43,Lsp
matsch,B2,meadow,29/09/2013,5,OnsetSMB005,0.25,0.436,0.43,Lsp
matsch,B2,meadow,27/05/2014,5,Decagon10HS,0.177,0.359,0.387,CI
matsch,B2,meadow,27/05/2014,5,Decagon10HS,0.177,0.414,0.387,CI
matsch,B2,meadow,27/05/2014,5,Decagon10HS,0.083,0.359,0.387,Lsp
matsch,B2,meadow,27/05/2014,5,Decagon10HS,0.083,0.414,0.387,Lsp
matsch,B2,meadow,15/07/2014,5,Decagon10HS,0.252,0.386,0.418,CI
matsch,B2,meadow,15/07/2014,5,Decagon10HS,0.252,0.442,0.418,CI
matsch,B2,meadow,15/07/2014,5,Decagon10HS,0.252,0.427,0.418,CI
matsch,B2,meadow,15/07/2014,5,Decagon10HS,0.163,0.386,0.418,Lsp
matsch,B2,meadow,15/07/2014,5,Decagon10HS,0.163,0.442,0.418,Lsp
matsch,B2,meadow,15/07/2014,5,Decagon10HS,0.163,0.427,0.418,Lsp
matsch,B2,meadow,19/07/2013,20,Decagon10HS,0.115,0.292,0.198,Lsp
matsch,B2,meadow,19/07/2013,20,Decagon10HS,0.115,0.105,0.198,Lsp
matsch,B2,meadow,19/07/2013,20,Decagon10HS,0.115,0.196,0.198,Lsp
matsch,B2,meadow,15/07/2014,20,Decagon10HS,0.21,0.42,0.42,Lsp
matsch,B3,meadow,19/07/2013,5,OnsetSMB005,0.249,0.197,0.207,
matsch,B3,meadow,19/07/2013,5,OnsetSMB005,0.249,0.198,0.207,
matsch,B3,meadow,19/07/2013,5,OnsetSMB005,0.249,0.226,0.207,
matsch,B3,meadow,29/09/2013,5,OnsetSMB005,0.255,0.241,0.221,
matsch,B3,meadow,29/09/2013,5,OnsetSMB005,0.255,0.241,0.221,
matsch,B3,meadow,29/09/2013,5,OnsetSMB005,0.255,0.182,0.221,
matsch,B3,meadow,15/07/2014,5,OnsetSMB005,0.264,0.471,0.494,
matsch,B3,meadow,15/07/2014,5,OnsetSMB005,0.264,0.443,0.494,
matsch,B3,meadow,15/07/2014,5,OnsetSMB005,0.264,0.523,0.494,
matsch,B3,meadow,15/07/2014,5,OnsetSMB005,0.264,0.541,0.494,
matsch,B3,meadow,23/07/2014,5,OnsetSMB005,0.199,0.429,0.453,
matsch,B3,meadow,23/07/2014,5,OnsetSMB005,0.199,0.483,0.453,
matsch,B3,meadow,23/07/2014,5,OnsetSMB005,0.199,0.448,0.453,
matsch,B3,meadow,19/07/2013,20,OnsetSMB005,0.026,0.097,0.124,
matsch,B3,meadow,19/07/2013,20,OnsetSMB005,0.026,0.139,0.124,
matsch,B3,meadow,19/07/2013,20,OnsetSMB005,0.026,0.138,0.124,
matsch,B3,meadow,23/07/2014,20,Decagon10HS,0.21,0.215,0.262,
matsch,B3,meadow,23/07/2014,20,Decagon10HS,0.21,0.32,0.262,
